countrygrouprelationid,countrygroupid,countryid
1125,5203,304
1126,5203,21.01
1127,5203,666
1128,5203,840
1129,5208,8
1130,5208,20
1131,5208,40
1132,5208,112
1133,5208,56
1134,5208,60
1135,5208,70
1136,5208,100
1137,5208,124
1138,5208,191
1139,5208,203
1140,5208,208
1141,5208,233
1142,5208,246
1143,5208,250
1144,5208,276
1145,5208,300
1146,5208,304
1147,5208,348
1148,5208,352
1149,5208,372
1150,5208,380
1151,5208,428
1152,5208,440
1153,5208,442
1154,5208,470
1155,5208,499
1156,5208,528
1157,5208,807
1158,5208,578
1159,5208,616
1160,5208,620
1161,5208,498
1162,5208,642
1163,5208,643
1164,5208,688
1165,5208,703
1166,5208,705
1167,5208,724
1168,5208,752
1169,5208,756
1170,5208,804
1171,5208,826
1172,5208,840
1173,5402,248
1174,5402,830
1175,5402,208
1176,5402,233
1177,5402,234
1178,5402,246
1179,5402,831
1180,5402,352
1181,5402,372
1182,5402,833
1183,5402,832
1184,5402,428
1185,5402,440
1186,5402,154.01
1187,5402,578
1188,5402,744
1189,5402,752
1190,5402,826
1191,5500,16
1192,5500,36
1193,5500,162
1194,5500,166
1195,5500,184
1196,5500,242
1197,5500,258
1198,5500,316
1199,5500,334
1200,5500,396
1201,5500,296
1202,5500,584
1203,5500,583
1204,5500,57.01
1205,5500,488
1206,5500,520
1207,5500,540
1208,5500,554
1209,5500,570
1210,5500,574
1211,5500,580
1212,5500,582
1213,5500,585
1214,5500,598
1215,5500,612
1216,5500,286
1217,5500,882
1218,5500,90
1219,5500,772
1220,5500,776
1221,5500,798
1222,5500,581
1223,5500,548
1224,5500,872
1225,5500,876
1226,5807,16
1227,5807,184
1228,5807,242
1229,5807,258
1230,5807,296
1231,5807,584
1232,5807,583
1233,5807,520
1234,5807,540
1235,5807,570
1236,5807,585
1237,5807,598
1238,5807,882
1239,5807,90
1240,5807,772
1241,5807,776
1242,5807,798
1243,5807,548
1244,5873,36
1245,5873,40
1246,5873,56
1247,5873,58
1248,5873,124
1249,5873,152
1250,5873,203
1251,5873,208
1252,5873,233
1253,5873,246
1254,5873,250
1255,5873,276
1256,5873,300
1257,5873,348
1258,5873,352
1259,5873,372
1260,5873,376
1261,5873,380
1262,5873,392
1263,5873,428
1264,5873,442
1265,5873,484
1266,5873,528
1267,5873,554
1268,5873,578
1269,5873,616
1270,5873,620
1271,5873,410
1272,5873,703
1273,5873,705
1274,5873,724
1275,5873,752
1276,5873,756
1277,5873,792
1278,5873,826
1279,5873,840
1280,5504,16
1281,5504,184
1282,5504,258
1283,5504,570
1284,5504,612
1285,5504,286
1286,5504,882
1287,5504,772
1288,5504,776
1289,5504,798
1290,5504,872
1291,5504,876
1292,5803,16
1293,5803,660
1294,5803,28
1295,5803,533
1296,5803,44
1297,5803,48
1298,5803,52
1299,5803,84
1300,5803,60
1301,5803,92
1302,5803,132
1303,5803,136
1304,5803,174
1305,5803,184
1306,5803,192
1307,5803,531
1308,5803,212
1309,5803,214
1310,5803,242
1311,5803,258
1312,5803,308
1313,5803,312
1314,5803,316
1315,5803,624
1316,5803,328
1317,5803,332
1318,5803,388
1319,5803,296
1320,5803,462
1321,5803,584
1322,5803,474
1323,5803,480
1324,5803,583
1325,5803,500
1326,5803,520
1327,5803,540
1328,5803,570
1329,5803,580
1330,5803,585
1331,5803,598
1332,5803,630
1333,5803,659
1334,5803,662
1335,5803,670
1336,5803,882
1337,5803,678
1338,5803,690
1339,5803,702
1340,5803,534
1341,5803,90
1342,5803,740
1343,5803,626
1344,5803,776
1345,5803,780
1346,5803,796
1347,5803,798
1348,5803,850
1349,5803,548
1350,5207,32
1351,5207,68
1352,5207,74
1353,5207,76
1354,5207,152
1355,5207,170
1356,5207,218
1357,5207,238
1358,5207,254
1359,5207,328
1360,5207,600
1361,5207,604
1362,5207,283
1363,5207,239
1364,5207,740
1365,5207,858
1366,5207,862
1367,5304,96
1368,5304,116
1369,5304,360
1370,5304,418
1371,5304,458
1372,5304,104
1373,5304,608
1374,5304,702
1375,5304,764
1376,5304,626
1377,5304,704
1378,5104,72
1379,5104,748
1380,5104,426
1381,5104,516
1382,5104,710
1383,5303,4
1384,5303,50
1385,5303,64
1386,5303,356
1387,5303,364
1388,5303,462
1389,5303,524
1390,5303,586
1391,5303,144
1392,5855,4
1393,5855,50
1394,5855,64
1395,5855,364
1396,5855,462
1397,5855,524
1398,5855,586
1399,5855,144
1400,5403,8
1401,5403,20
1402,5403,70
1403,5403,191
1404,5403,292
1405,5403,300
1406,5403,336
1407,5403,380
1408,5403,412
1409,5403,470
1410,5403,499
1411,5403,807
1412,5403,620
1413,5403,674
1414,5403,688
1415,5403,891
1416,5403,705
1417,5403,715
1418,5403,724
1419,5403,890
1420,420,24
1421,420,204
1422,420,72
1423,420,854
1424,420,108
1425,420,132
1426,420,120
1427,420,140
1428,420,148
1429,420,86
1430,420,174
1431,420,178
1432,420,384
1433,420,180
1434,420,262
1435,420,226
1436,420,232
1437,420,748
1438,420,231
1439,420,260
1440,420,266
1441,420,270
1442,420,288
1443,420,324
1444,420,624
1445,420,404
1446,420,426
1447,420,430
1448,420,450
1449,420,454
1450,420,466
1451,420,478
1452,420,480
1453,420,175
1454,420,508
1455,420,516
1456,420,562
1457,420,566
1458,420,638
1459,420,646
1460,420,654
1461,420,678
1462,420,686
1463,420,690
1464,420,694
1465,420,706
1466,420,710
1467,420,728
1468,420,768
1469,420,800
1470,420,834
1471,420,894
1472,420,716
1473,5810,24
1474,5810,204
1475,5810,72
1476,5810,854
1477,5810,108
1478,5810,132
1479,5810,120
1480,5810,140
1481,5810,148
1482,5810,174
1483,5810,178
1484,5810,384
1485,5810,180
1486,5810,262
1487,5810,226
1488,5810,232
1489,5810,748
1490,5810,231
1491,5810,266
1492,5810,270
1493,5810,288
1494,5810,324
1495,5810,624
1496,5810,404
1497,5810,426
1498,5810,430
1499,5810,450
1500,5810,454
1501,5810,466
1502,5810,478
1503,5810,480
1504,5810,508
1505,5810,516
1506,5810,562
1507,5810,566
1508,5810,646
1509,5810,678
1510,5810,686
1511,5810,690
1512,5810,694
1513,5810,706
1514,5810,710
1515,5810,728
1516,5810,729
1517,5810,768
1518,5810,800
1519,5810,834
1520,5810,894
1521,5810,716
1522,9011,8
1523,9011,12
1524,9011,16
1525,9011,51
1526,9011,31
1527,9011,112
1528,9011,84
1529,9011,70
1530,9011,72
1531,9011,76
1532,9011,100
1533,9011,156
1534,9011,170
1535,9011,188
1536,9011,192
1537,9011,212
1538,9011,214
1539,9011,218
1540,9011,226
1541,9011,242
1542,9011,266
1543,9011,308
1544,9011,320
1545,9011,328
1546,9011,364
1547,9011,368
1548,9011,388
1549,9011,400
1550,9011,398
1551,9011,422
1552,9011,434
1553,9011,458
1554,9011,462
1555,9011,584
1556,9011,480
1557,9011,484
1558,9011,499
1559,9011,516
1560,9011,520
1561,9011,807
1562,9011,600
1563,9011,604
1564,9011,642
1565,9011,643
1566,9011,662
1567,9011,670
1568,9011,882
1569,9011,688
1570,9011,710
1571,9011,740
1572,9011,764
1573,9011,776
1574,9011,792
1575,9011,795
1576,9011,798
1577,9011,862
1578,5105,204
1579,5105,854
1580,5105,132
1581,5105,384
1582,5105,270
1583,5105,288
