forestfireid,countryid,elementid,itemid,fireyear,burntarea
357,8,7246,6794,1994,6712.6146
358,8,7246,6794,1995,6712.6146
359,8,7246,6794,1996,839.5323
360,8,7246,6794,1997,1799.7461
361,8,7246,6794,1998,2246.0674
362,8,7246,6794,1999,4429.2512
363,8,7246,6794,2000,1182.5978
364,8,7246,6794,2001,3803.4637
365,8,7246,6794,2002,0
366,8,7246,6794,2003,9068.9304
367,8,7246,6794,2004,451.2612
368,8,7246,6794,2005,5221.5498
369,8,7246,6794,2006,881.1246
370,8,7246,6794,2007,50982.3035
371,8,7246,6794,2008,8273.3513
372,8,7246,6794,2009,2750.5058
373,8,7246,6794,2010,4061.2888
374,8,7246,6794,2011,21082.6876
375,8,7246,6794,2012,22958.143
376,8,7246,6794,2013,300.838
377,8,7246,6794,2014,128.9362
378,8,7246,6794,2015,2192.4275
379,8,7246,6794,2016,1461.4379
380,8,7246,6794,2017,16076.7575
381,8,7246,6794,2018,1031.7514
382,8,7246,6794,2019,1698.0657
383,8,7246,6794,2020,3331.4301
384,8,7246,6794,2021,8274.5318
385,8,7246,6792,1990,42.9261
386,8,7246,6792,1991,42.9261
387,8,7246,6792,1992,42.9261
388,8,7246,6792,1993,42.9261
389,8,7246,6792,1994,42.9261
390,8,7246,6792,1995,42.9261
391,8,7246,6792,1996,97.6248
392,8,7246,6792,1997,57.3202
393,8,7246,6792,1998,59.7686
394,8,7246,6792,1999,487.0237
395,8,7246,6792,2000,414.3408
396,8,7246,6792,2001,0
397,8,7246,6792,2002,0
398,8,7246,6792,2003,0
399,8,7246,6792,2004,0
400,8,7246,6792,2005,0
401,8,7246,6792,2006,0
402,8,7246,6792,2007,0
403,8,7246,6792,2008,0
404,8,7246,6792,2009,0
405,8,7246,6792,2010,0
406,8,7246,6792,2011,0
407,8,7246,6792,2012,0
408,8,7246,6792,2013,0
409,8,7246,6792,2014,0
410,8,7246,6792,2015,0
411,8,7246,6792,2016,0
412,8,7246,6792,2017,0
413,8,7246,6792,2018,0
414,8,7246,6792,2019,0
415,8,7246,6792,2020,0
416,8,7246,6792,2021,0
417,8,7246,6760,1990,3613.8173
418,8,7246,6760,1991,3613.8173
419,8,7246,6760,1992,3613.8173
420,8,7246,6760,1993,3613.8173
421,8,7246,6760,1994,3613.8173
422,8,7246,6760,1995,3613.8173
423,8,7246,6760,1996,11.717
424,8,7246,6760,1997,666.0988
425,8,7246,6760,1998,12.7097
426,8,7246,6760,1999,750.4586
427,8,7246,6760,2000,833.376
428,8,7246,6760,2001,128.9701
429,8,7246,6760,2002,0
430,8,7246,6760,2003,1870.0794
431,8,7246,6760,2004,21.4877
432,8,7246,6760,2005,64.4635
433,8,7246,6760,2006,343.9195
434,8,7246,6760,2007,43232.314
435,8,7246,6760,2008,687.6391
436,8,7246,6760,2009,601.8521
437,8,7246,6760,2010,601.6586
438,8,7246,6760,2011,6685.0047
439,8,7246,6760,2012,17262.4708
440,8,7246,6760,2013,236.46
441,8,7246,6760,2014,107.4622
442,8,7246,6760,2015,2192.7445
443,8,7246,6760,2016,494.4461
444,8,7246,6760,2017,5868.3753
445,8,7246,6760,2018,1741.3142
446,8,7246,6760,2019,881.3664
447,8,7246,6760,2020,1827.2194
448,8,7246,6760,2021,6835.642
449,8,7246,6789,1990,802.5927
450,8,7246,6789,1991,802.5927
451,8,7246,6789,1992,802.5927
452,8,7246,6789,1993,802.5927
453,8,7246,6789,1994,802.5927
454,8,7246,6789,1995,802.5927
455,8,7246,6789,1996,853.7664
456,8,7246,6789,1997,1122.674
457,8,7246,6789,1998,927.8536
458,8,7246,6789,1999,1240.5848
459,8,7246,6789,2000,3824.9803
460,8,7246,6789,2001,42.976
461,8,7246,6789,2002,0
462,8,7246,6789,2003,236.4469
463,8,7246,6789,2004,0
464,8,7246,6789,2005,85.9508
465,8,7246,6789,2006,0
466,8,7246,6789,2007,5589.202
467,8,7246,6789,2008,386.79
468,8,7246,6789,2009,128.9557
469,8,7246,6789,2010,300.8296
470,8,7246,6789,2011,709.2761
471,8,7246,6789,2012,2579.5946
472,8,7246,6789,2013,64.4616
473,8,7246,6789,2014,0
474,8,7246,6789,2015,236.4985
475,8,7246,6789,2016,0
476,8,7246,6789,2017,838.2879
477,8,7246,6789,2018,257.9833
478,8,7246,6789,2019,107.4886
479,8,7246,6789,2020,85.9971
480,8,7246,6789,2021,1246.8123
481,8,7246,6993,1990,0
482,8,7246,6993,1991,0
483,8,7246,6993,1992,0
484,8,7246,6993,1993,0
485,8,7246,6993,1994,0
486,8,7246,6993,1995,0
487,8,7246,6993,1996,0
488,8,7246,6993,1997,0
489,8,7246,6993,1998,0
490,8,7246,6993,1999,0
491,8,7246,6993,2000,0
492,8,7246,6993,2001,0
493,8,7246,6993,2002,0
494,8,7246,6993,2003,0
495,8,7246,6993,2004,0
496,8,7246,6993,2005,0
497,8,7246,6993,2006,0
498,8,7246,6993,2007,0
499,8,7246,6993,2008,0
500,8,7246,6993,2009,0
501,8,7246,6993,2010,0
502,8,7246,6993,2011,0
503,8,7246,6993,2012,0
504,8,7246,6993,2013,0
505,8,7246,6993,2014,0
506,8,7246,6993,2015,0
507,8,7246,6993,2016,0
508,8,7246,6993,2017,0
509,8,7246,6993,2018,0
510,8,7246,6993,2019,0
511,8,7246,6993,2020,0
512,8,7246,6993,2021,0
513,12,7246,6796,1990,0
514,12,7246,6796,1991,0
515,12,7246,6796,1992,0
516,12,7246,6796,1993,0
517,12,7246,6796,1994,0
518,12,7246,6796,1995,0
519,12,7246,6796,1996,0
520,12,7246,6796,1997,0
521,12,7246,6796,1998,0
522,12,7246,6796,1999,0
523,12,7246,6796,2000,0
524,12,7246,6796,2001,0
525,12,7246,6796,2002,0
526,12,7246,6796,2003,0
527,12,7246,6796,2004,0
528,12,7246,6796,2005,0
529,12,7246,6796,2006,0
530,12,7246,6796,2007,0
531,12,7246,6796,2008,0
532,12,7246,6796,2009,0
533,12,7246,6796,2010,0
534,12,7246,6796,2011,0
535,12,7246,6796,2012,0
536,12,7246,6796,2013,0
537,12,7246,6796,2014,0
538,12,7246,6796,2015,0
539,12,7246,6796,2016,0
540,12,7246,6796,2017,0
541,12,7246,6796,2018,0
542,12,7246,6796,2019,0
543,12,7246,6796,2020,0
544,12,7246,6796,2021,0
545,12,7246,6797,1990,12799.3116
546,12,7246,6797,1991,12799.3116
547,12,7246,6797,1992,12799.3116
548,12,7246,6797,1993,12799.3116
549,12,7246,6797,1994,12799.3116
550,12,7246,6797,1995,12799.3116
551,12,7246,6797,1996,10117.9999
552,12,7246,6797,1997,7475.2493
553,12,7246,6797,1998,7902.7813
554,12,7246,6797,1999,8269.4816
555,12,7246,6797,2000,40639.3965
556,12,7246,6797,2001,944.8176
557,12,7246,6797,2002,4981.5373
558,12,7246,6797,2003,10457.4563
559,12,7246,6797,2004,2039.8962
