co2id,countryid,elementid,itemid,fireyear,co2amount
174,24,7273,6993,2003,0
175,24,7273,6993,2004,0
176,24,7273,6993,2005,0
177,24,7273,6993,2006,0
178,24,7273,6993,2007,0
179,24,7273,6993,2008,0
180,24,7273,6993,2009,0
181,24,7273,6993,2010,0
182,24,7273,6993,2011,0
183,24,7273,6993,2012,0
184,24,7273,6993,2013,0
185,24,7273,6993,2014,0
186,24,7273,6993,2015,0
187,24,7273,6993,2016,0
188,24,7273,6993,2017,0
189,24,7273,6993,2018,0
190,24,7273,6993,2019,0
191,24,7273,6993,2020,0
192,24,7273,6993,2021,0
193,660,7273,6993,1990,0
194,660,7273,6993,1991,0
195,660,7273,6993,1992,0
196,660,7273,6993,1993,0
197,660,7273,6993,1994,0
198,660,7273,6993,1995,0
199,660,7273,6993,1996,0
200,660,7273,6993,1997,0
201,660,7273,6993,1998,0
202,660,7273,6993,1999,0
203,660,7273,6993,2000,0
204,660,7273,6993,2001,0
205,660,7273,6993,2002,0
206,660,7273,6993,2003,0
207,660,7273,6993,2004,0
208,660,7273,6993,2005,0
209,660,7273,6993,2006,0
210,660,7273,6993,2007,0
211,660,7273,6993,2008,0
212,660,7273,6993,2009,0
213,660,7273,6993,2010,0
214,660,7273,6993,2011,0
215,660,7273,6993,2012,0
216,660,7273,6993,2013,0
217,660,7273,6993,2014,0
218,660,7273,6993,2015,0
219,660,7273,6993,2016,0
220,660,7273,6993,2017,0
221,660,7273,6993,2018,0
222,660,7273,6993,2019,0
223,660,7273,6993,2020,0
224,660,7273,6993,2021,0
225,28,7273,6993,1990,0
226,28,7273,6993,1991,0
227,28,7273,6993,1992,0
228,28,7273,6993,1993,0
229,28,7273,6993,1994,0
230,28,7273,6993,1995,0
231,28,7273,6993,1996,0
232,28,7273,6993,1997,0
233,28,7273,6993,1998,0
234,28,7273,6993,1999,0
235,28,7273,6993,2000,0
236,28,7273,6993,2001,0
237,28,7273,6993,2002,0
238,28,7273,6993,2003,0
239,28,7273,6993,2004,0
240,28,7273,6993,2005,0
241,28,7273,6993,2006,0
242,28,7273,6993,2007,0
243,28,7273,6993,2008,0
244,28,7273,6993,2009,0
245,28,7273,6993,2010,0
246,28,7273,6993,2011,0
247,28,7273,6993,2012,0
248,28,7273,6993,2013,0
249,28,7273,6993,2014,0
250,28,7273,6993,2015,0
251,28,7273,6993,2016,0
252,28,7273,6993,2017,0
253,28,7273,6993,2018,0
254,28,7273,6993,2019,0
255,28,7273,6993,2020,0
256,28,7273,6993,2021,0
257,32,7273,6993,1990,0
258,32,7273,6993,1991,0
259,32,7273,6993,1992,0
260,32,7273,6993,1993,0
261,32,7273,6993,1994,0
262,32,7273,6993,1995,0
263,32,7273,6993,1996,0
264,32,7273,6993,1997,0
265,32,7273,6993,1998,0
266,32,7273,6993,1999,0
267,32,7273,6993,2000,0
268,32,7273,6993,2001,0
269,32,7273,6993,2002,0
270,32,7273,6993,2003,0
271,32,7273,6993,2004,0
272,32,7273,6993,2005,0
273,32,7273,6993,2006,0
274,32,7273,6993,2007,0
